cluster_id,size,medoid_lat,medoid_lng,braking_events,swerve_events,roughness_events,hazard_type,avg_x,avg_y,avg_z,max_x,max_y,max_z,peak_events,offpeak_events,morning_peak,evening_peak,weekday_events,weekend_events,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,street_name
37,90,53.2946397,-6.1351153,17,73,27,mixed_swerve_roughness,27.06666667,44.91111111,48.67777778,80,72,81,87,3,23,64,90,0,4,3,0,0,6,22,18,9,4,19,5,0,Marine Road
67,86,53.29695388,-6.204295067,10,14,77,roughness,27.77906977,31.5,66.31395349,59,52,87,78,8,1,77,86,0,1,5,7,8,1,6,24,14,4,1,4,11,Stillorgan Road
48,83,53.34583443,-6.275399385,41,23,21,mixed_braking_swerve_roughness,42.04819277,19.20481928,42.51807229,88,62,77,72,11,51,21,79,4,0,4,5,6,10,10,1,4,6,21,11,5,Inns Quay
38,79,53.33267299,-6.253457303,27,2,70,mixed_braking_roughness,40.10126582,22.89873418,69.26582278,94,43,113,74,5,7,67,77,2,6,18,15,5,3,0,4,8,5,1,2,12,Geocoding Failed
1,79,53.2531626,-6.214417027,10,30,49,mixed_swerve_roughness,29.30379747,34.24050633,46.53164557,63,67,88,53,26,37,16,59,20,8,13,7,0,16,0,3,18,8,1,5,0,Enniskerry Road
43,78,53.34101085,-6.236209594,14,17,71,roughness,33.93589744,33.82051282,69.0,83,72,103,74,4,0,74,78,0,5,10,19,11,5,0,11,6,0,0,9,2,Barrow Street
105,77,53.3338706,-6.23189584,60,0,23,mixed_braking_roughness,48.11688312,17.31168831,45.68831169,71,40,77,74,3,34,40,77,0,7,20,5,3,0,5,7,3,4,6,17,0,Lansdowne Road
45,77,53.32051879,-6.215664751,51,11,40,mixed_braking_roughness,44.28571429,23.90909091,56.64935065,79,49,99,74,3,16,58,74,3,0,8,8,10,1,3,11,8,7,10,10,1,Merrion Road
107,77,53.289617,-6.1505293,52,33,13,mixed_braking_swerve,47.09090909,27.76623377,39.23376623,78,61,76,35,42,24,11,33,44,15,3,15,0,14,0,0,1,0,17,0,12,Carrickbrennan Entrance to CBC Monkstown Park
101,76,53.3861234,-6.1709359,68,14,7,braking,51.38157895,17.31578947,39.5,85,69,73,40,36,35,5,37,39,0,2,0,3,2,9,4,22,15,1,15,3,Grange Park Road
90,76,53.31862261,-6.242130415,54,15,20,mixed_braking_roughness,47.67105263,20.53947368,45.72368421,101,58,98,63,13,10,53,75,1,0,1,0,3,0,0,7,12,10,15,20,8,Sandford Road
85,75,53.3251819,-6.2544427,42,29,21,mixed_braking_swerve_roughness,42.56,23.88,43.44,73,65,78,44,31,3,41,52,23,0,3,0,2,0,0,20,21,2,10,15,2,Ranelagh
25,74,53.32950981,-6.275483924,19,30,41,mixed_braking_swerve_roughness,29.45945946,28.45945946,57.2972973,67,86,88,53,21,34,19,61,13,5,0,0,0,11,0,8,24,18,5,0,3,Grove Road
71,73,53.36919871,-6.258909086,8,10,66,roughness,27.90410959,28.65753425,70.87671233,81,71,98,24,49,4,20,35,38,3,9,12,5,0,6,9,8,7,2,9,3,Woodville Road
84,73,53.34386314,-6.264440792,47,14,21,mixed_braking_roughness,42.12328767,19.87671233,47.79452055,79,77,98,45,28,31,14,69,4,1,0,9,5,0,0,5,13,5,19,15,1,South Great George's Street
44,72,53.33619403,-6.257478791,14,52,8,swerve,25.61111111,42.73611111,23.61111111,61,72,96,56,16,26,30,68,4,2,5,7,3,26,6,4,17,0,0,1,1,St. Stephen's Green
91,72,53.2989071,-6.1703717,5,61,18,swerve,20.90277778,45.19444444,55.08333333,63,76,93,65,7,9,56,72,0,3,0,1,0,1,9,19,9,17,2,11,0,Newtown Avenue
65,71,53.29316276,-6.246219735,20,11,51,mixed_braking_roughness,35.87323944,21.77464789,65.52112676,69,59,97,59,12,26,33,65,6,5,1,0,0,3,3,15,23,5,13,2,1,Dundrum Bypass
